"id","sourcePhase","sourceDate","content","phraseTags","emotionalStateTag","phaseDnaTag","createdAt"
60001,PH1,"2018-03-01T00:00:00.000Z","I have spent several years working, progressively, through a deep, introspective exploration of all that makes me who I am, especially spiritually. To achieve improvement on my work, I concluded I would have to break myself down to absolutely nothing, so that I could rise again from a clear foundation.","[""ego death"",""spiritual exploration"",""clear foundation"",""breaking down""]",determined-vulnerable,PH1,"2026-03-06T08:12:32.000Z"
60002,PH1,"2017-06-01T00:00:00.000Z","It was when I finally just didn't care anymore, and started to make these simple mandalas I really enjoyed it, and also people started to notice. The collapse of external concern enabling internal freedom functions as the origin point of the entire practice.","[""not caring"",""mandalas"",""internal freedom"",""origin point""]",liberated,PH1,"2026-03-06T08:12:32.000Z"
60003,PH1,"2017-09-01T00:00:00.000Z","Color was discarded as not relevant anymore, it did not serve a purpose and was only a distraction. I really love black and white, it's so powerful. The harsh contrast is something I always really love a lot. It's so intense.","[""black and white"",""monochrome"",""contrast"",""intensity"",""discarding color""]",conviction,PH1,"2026-03-06T08:12:33.000Z"
60004,PH1,"2018-03-15T00:00:00.000Z","The absurdity lies in the perpetual question, What is the meaning of life? It's like screaming into the wind asking for an answer while knowing the answer will never come. Rather than seeing this as a limitation, it became freeing for me.","[""absurdity"",""meaning of life"",""freedom"",""Camus"",""existentialism""]",philosophical-acceptance,PH1,"2026-03-06T08:12:33.000Z"
60005,PH1,"2018-02-01T00:00:00.000Z","It was the point when I realised that there can never be a true understanding of our purpose. Not through thought, reason, or mathematics. To understand this, was to let go, and begin the next stage of existential development. To be truly free.","[""letting go"",""existential freedom"",""purpose"",""no understanding""]",transcendent,PH1,"2026-03-06T08:12:33.000Z"
60006,PH1,"2018-01-15T00:00:00.000Z","The flat black bars that intervene upon the circular moiré forms, shattering the illusion of reality and enforcing the absurd reality of our limitations. Their dimensions derive from golden ratio calculations based on the circle diameters.","[""black bars"",""golden ratio"",""moiré"",""limitations"",""geometric precision""]",analytical-creative,PH1,"2026-03-06T08:12:33.000Z"
60007,PH1,"2017-08-01T00:00:00.000Z","I began to study about my heritage, which connects me to Norse history and Norse paganism. I read the poems and the myths which formed the building blocks of my family, and my deep connection to nature.","[""Norse heritage"",""paganism"",""nature"",""ancestry"",""identity""]",searching,PH1,"2026-03-06T08:12:34.000Z"
60008,PH1,"2017-10-01T00:00:00.000Z","Mathematics, physics, and astronomy were not mutually exclusive to spirituality, but rather they were two sides of the same coin. My sceptical, logical and rational fact-based mind, and the deep internal feeling of spiritual connection towards my surroundings.","[""two sides of the coin"",""physics and spirituality"",""reconciliation"",""sacred geometry""]",revelation,PH1,"2026-03-06T08:12:34.000Z"
60009,PH1,"2016-06-01T00:00:00.000Z","Returned from Los Angeles and the 14th Factory project carrying that feeling of being totally defeated by art. Had spent years overthinking the commercial side or how people would react, a recursive anxiety that had paralyzed authentic production.","[""14th Factory"",""Simon Birch"",""defeat"",""overthinking"",""commercial anxiety""]",defeated,PH1,"2026-03-06T08:12:34.000Z"
60010,PH1,"2018-03-20T00:00:00.000Z","I think every artist always feels like they could do better, or do more, or each piece could be done better, cleaner. We are always left longing and never satisfied. It's truly an endless cycle of the knowledge that I'm better than them inside but not quite able to get it out yet.","[""dissatisfaction"",""endless cycle"",""internal vs external"",""longing""]",frustrated-driven,PH1,"2026-03-06T08:12:34.000Z"
