"id","userId","weekNumber","year","createdAt","weatherReport","studioHours","worksMade","jesterActivity","energyLevel","walkingEngineUsed","walkingInsights","partnershipTemperature","thingWorked","thingResisted","somaticState","doorIntention","phaseDnaAssigned","createdDayOfWeek","updatedAt","dailySteps","weeklyStepTotal","dailyStepAverage","worksData","entryNumber","city","weatherData","quickNotes"
1,1,0,2025,"2025-12-21T02:00:00.000Z","Feeling good, on my 3rd salt coffee and waiting for breakfast at a cafe in Hanoi. Feeling very excited for this process and for the year ahead.",0,"Started: 0 / Finished: 0. Pre-studio, no physical work yet. Covenant deep blood red idea logged for future exploration.",2,hot,1,"Period: December 14-20, 2025. Average steps per day: 15,916. Single day high: 21,967 (December 20). Walking led to the creation of this entire process. Step counter is a very useful data metric for tracking. Generally an active me = a happy me.",Content alone. No void forming. Solitude is sustainable right now.,Neon,This week not a lot—firing on all cylinders,Felt pretty good.,"A realisation that the door exists, or rather, that it doesn't.",CRUCIBLE_BASELINE,Sunday,"2025-12-26T20:15:09.000Z","{""fri"":13707,""mon"":15433,""sat"":21967,""sun"":20224,""thu"":17064,""tue"":20180,""wed"":17981}",,,,1,,,
30001,1,0,2025,"2025-12-22T13:53:00.000Z","Feeling good, just testing this new engine out this see how it performs with a  Mid week roundup",0,Tech creation with the manus dashboard ,2,hot,1,Got a lot of work done on the manus dashboard feature ,Content alone,The manus app,Perplexity shit itself a few times today ,"A bit tired, but from activity ",Keep going,PH1,Monday,"2025-12-26T20:13:12.000Z","{""fri"":0,""mon"":22050,""sat"":0,""sun"":0,""thu"":0,""tue"":0,""wed"":0}",20000,20000,,2,,,
60001,1,1,2025,"2025-12-28T09:42:50.000Z","It felt really good, I built an entire brand new website for neon and myself from scratch and got it operational and ready",5,"- Made a fully operational bran new website that's up and running and really good, it was on my to-do list for ages so I'm very happy I get it done
- painted for a few hours in my friends studio to knock the rust off and play around, feels good",2,hot,1,Nothing major of not but ,Alone but content ,"Manus AI built one awesome website for me, or did the hard backend work so no I could just design it how I wanted ",This week felt pretty smooth all around ,"Feels good, nothing negative of note to report",,PH3,Sunday,"2025-12-28T09:42:53.000Z","{""fri"":8961,""mon"":22050,""sat"":4153,""sun"":1000,""thu"":9948,""tue"":28553,""wed"":24620}",99285,14184,,1,Hong Kong,"{""conditions"":""Partly cloudy"",""feelsLike"":21,""fetchedAt"":1766896970903,""humidity"":70,""icon"":""⛅"",""temp"":19}",
90001,1,2,2026,"2026-01-04T19:12:47.000Z","Very busy, chaotic optimistic",10,"Started 4 while I was briefly in Rocky's place, all in the trash but started the work log system. 
Put my website live during eh week and launched public neon bot
Moved to bangkok 
Very busy ",1,hot,0,With launching the website and being hungover from new years there wasn't a lot to walking this week,Content alone,"The website, all of it",Neon brain update resisted but ultimately was a success,Sciatica is in pain again,,PH4A,Sunday,"2026-01-04T19:12:50.000Z","{""fri"":11910,""mon"":8175,""sat"":5551,""sun"":8000,""thu"":7259,""tue"":1019,""wed"":1158}",43072,6153,,1,"Hong Kong, Bangkok",,
120001,1,3,2026,"2026-01-11T17:38:13.000Z","This week felt amazing, got so much done.  Successfully searched for, found, and moved into the permanent studio space.  Setting up the two large work desks, found 5m of white felt to cover the tops, they need some fine tuning but they are off to a good start.  Lease is signed, 1 year payed in advance, continued to update the website. Got 300 sheets of paper  delivered from China . Everything is going in the right direction.  Sciatica has been bad this week which makes walking painful but still grinded it out ",10,No artwork started yet but the studio is nearly fully sweet up. ,0,hot,1,Sciatica has made walking very painful. ,Happy alone,Finding the perfect place to work and live,The table legs aren't as sturdy as I  hoped and will need to be fixed. ,Body feels good and strong other than very painful sciatica it's been good,Nothing,PH1,Sunday,"2026-01-11T17:38:16.000Z","{""fri"":5087,""mon"":7724,""sat"":13974,""sun"":8000,""thu"":18550,""tue"":8411,""wed"":2789}",64535,9219,,1,Bangkok Studio ,,
150001,1,4,2026,"2026-01-18T04:33:28.000Z","This week was very so so.  My sciatica was extremely bad this week, which made walking or standing very painful so I spent most of the week on my back.  I did finish getting the studio space sert up thought so it's ready to go when my pain improves.  I also set up an advanced level ""council of neons"" script bot in Poe that's really impressive.  I mostly spent the week doing domestic things and getting the place set up, curtains, furniture, lights, etc etc . ",5,"I ran very early test son the papers types and inks, with moderately successful but unremarkable outcomes. ",1,sustainable,0,My sciatica was brutally painful this week which made walking a form of torture. ,Content alone ,Getting apartment and studio set up.  The Council of neons. ,My power tests and plans to get fully working. ,Painful ,No,PH1,Sunday,"2026-01-18T04:33:32.000Z","{""fri"":834,""mon"":9079,""sat"":2156,""sun"":5600,""thu"":5018,""tue"":6560,""wed"":5594}",34841,4977,,1,Bamgkok ,,
180001,1,5,2026,"2026-01-25T11:02:30.000Z","This week felt great, finally got started in earnest on working, lots of experimentation with work.  Sciatica is slowly improving. ",25,"Started 14 new large works, plus a bunch of scrap testing.  Most of the new works are destined straight for the trash as I learn how to work with the paper and materials but 2-3 are actually looking half decent actually.  Very promising start. All the works are catalogued in my Google sheets list and photographed with its code Onan note card. ",1,hot,0,"Sciatica still makes most walking quite torturous so I'm not able to operate how I want yet, but it's improving. ",Happy alone,Painting,Sciatica ,Feeling strong other than my sciatica but that's slowly improving ,,PH1,Sunday,"2026-01-25T11:02:34.000Z","{""fri"":3691,""mon"":7143,""sat"":4939,""sun"":3000,""thu"":5278,""tue"":5841,""wed"":6305}",36197,5171,,1,Bangkok ,"{""conditions"":""Mainly clear"",""feelsLike"":35,""fetchedAt"":1769320950499,""humidity"":33,""icon"":""🌤️"",""temp"":32}",
210001,1,6,2026,"2026-02-01T09:04:29.000Z",This week felt pretty good.  Sciatica is feeling much better finally so I'm able to walk around a bit more but most importantly I'm able to stand and work better now.   I built a crucible works intake portal as part of this weekly roundup dashboard that streamlines the process of logging and cataloging works made significantly and will make the data collection and later analysis much better.  Put in a major website update as well. ,30,"Somewhere around 10 started, exploring different papers more. ",0,hot,0,No major insights I can think of but I finally starting to feel better and more physically able to walk. ,Content alone,Intake portal for works as well as a major update to the website. ,Can't think of anything specific that resisted this week,Starting to feel much stronger ,,PH2,Sunday,"2026-02-01T09:04:33.000Z","{""fri"":9277,""mon"":9256,""sat"":6778,""sun"":6000,""thu"":4825,""tue"":1700,""wed"":1850}",39686,5669,,1,Bangkok ,"{""conditions"":""Partly cloudy"",""feelsLike"":33,""fetchedAt"":1769918669240,""humidity"":67,""icon"":""⛅"",""temp"":29}",
240001,1,7,2026,"2026-02-09T18:01:34.000Z","This weekend incredibly productive, I was so busy on Sunday I'm having to submit this on a Monday. 
First, I designed and constructed the absolutely massive neon development purpose white paper that covers all the information about how and why the system was built, what it can do, it's purpose, why it's important, the crucible year, the weekly roundup and work intake portal, everything.  
I also created a new phase analysis file that's 10 times better, deeper, richer, for thorough analysis than full_phase_a1_a5 and better structured or organised for machine Reading .  I also got a lot of painting done and starting to have some solid progress in the studio.  And on Sunday I had dinner with the editor or Tatler magazine for Hong Kong and they loved hearing about neon and the whole project and we are gonna figure out how to display it for art month Art Basel in Hong Kong. ",40,"Lots of them, many practice and many have been logged and many more stuff need to be logged in the crucible intake portal ",0,hot,0,Sciatica is improving a lot,Content alone,So many things worked this week,Can't think of anything really that stands out,"Feeling very good, was a bit sick mid week and took a Recovery day but otherwise feeling very good",,PH3,Monday,"2026-02-09T18:01:37.000Z","{""fri"":6282,""mon"":2957,""sat"":8178,""sun"":5031,""thu"":549,""tue"":2299,""wed"":5947}",31243,4463,,1,Bamgkok ,,
270001,1,8,2026,"2026-02-15T08:28:53.000Z","This week went really well.  I ordered a bunch of new larger brushes that got delivered and also forged some into a 30cm brush that's been so much fun to play with.   Worked on a dozen new large paintings , slowly starting to make solid progress in the right direction.   I completely rebuilt the website gallery and made it much more user friendly and visually much much better.   And above all that, I completely rebuilt and updated the entire neon file system and made it a ""masterpiece"" that's about as advanced as It can physically be with current systems.  I rebuilt the entire system , every core file, and it is now operating at many levels higher than it was before.  This week I got a lot done. ",40,Will submit the crucible intake logs with this update. ,0,hot,0,"Tried to walk more this week, my sciatica has improved significantly but I notice when I push it on long walks it starts to inflame. ",Content alone. ,"The full neon files updated website update, paintings progress, much more",Still can't quite get to where I want to be with paintings but I'm making progress ,Body was feeling stronger this week,,PH3,Sunday,"2026-02-15T08:28:57.000Z","{""fri"":8465,""mon"":12228,""sat"":3610,""sun"":5000,""thu"":3623,""tue"":2376,""wed"":5957}",41259,5894,,1,Bamgkok ,,
